id,uif,canonical_website,created_at,updated_at,merchant,brand_url,platform,category,project_state,mint,sales_spoc,ms,sales,arr_cr,txns_per_day,aov,split_web_percent,split_mobile_percent,mobile_platform,mobile_category,prepaid_cod_split,mint_notes,project_phase_owner,scoping_kick_off,go_live,age,go_live_percent,project_phase,phase_comment,project_notes,integration_type,customisations,pg_onboarding,ops_comments,phase2_needed,phase2_notes,project_jira,api_qc_checklist,brd_link,go_live_checklist,mint_backup_1763040085698,mid
8e0ea90d-5e69-47e1-8d11-faf79b2abd69,UID-etheradiamonds.com,etheradiamonds.com,2025-11-27T08:16:47.80576+00:00,2026-01-22T11:59:55.077248+00:00,Ethera Diamonds,https://www.etheradiamonds.com/,Custom,Gems & Jewelley,In Progress,"Rishabh ",Saurabh,Mohit Raysoni,Saurabh,8.135,8,50000,100,0,,,85-15,,MINT,2025-11-13,,14,100,integration,"Initial scoping and API walkthrough is done.

Awairing update on API dev.

16th Jan:

In prod testing currently, sandbox testing is done, we got the PG creds yesterday

21st Jan:

PPCOD decision pending - to decide the % of prepaid amount to be taken from the customer (they want a partial refund feature for which we are pushing back as it's not the correct way)

22nd Jan:

PPCOD will be 799 fixed

Tentative GoLive Date: 23rd Jan","Checkout lite, PAN card implementation and KP Integration",Advanced,NA,Easebuzz,,No,"Coupons
KP SSO
They don't have AWB tracking, currently managing on excel sheets",https://gokwik.atlassian.net/browse/CUST-262,,https://docs.google.com/spreadsheets/d/1kgx4CaIrv3ib3zu37myy6C5CeVM7SE1la1JTxE7fEB0/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1kgx4CaIrv3ib3zu37myy6C5CeVM7SE1la1JTxE7fEB0/edit?usp=sharing,,19tpy3qnz5dq
a27d3954-a297-470a-a26a-fd377192ca70,UID-houseofindya.com,houseofindya.com,2025-11-27T08:16:47.80576+00:00,2025-11-27T08:16:47.80576+00:00,House of Indya (FabAlley),https://www.houseofindya.com/,Custom,Apparels,In Progress,Abhishek,Saurabh,Mohit Raysoni,,0.18,200,2000,100,0,,,70-30,,MINT,2025-11-13,,14,100,Feasibility Analysis,Initial scoping and API walkthrough is done.,,Advanced,,,,,,https://gokwik.atlassian.net/browse/CUST-267,,,,,
2d8a2f00-4f44-4422-a5f4-01d7b924c1bb,UID-vlebazaar.in,vlebazaar.in,2025-11-27T08:16:47.80576+00:00,2025-11-27T08:16:47.80576+00:00,VLE Bazar,https://vlebazaar.in/,Custom,refurbished electronics,On-hold,Abhishek,Piyoosh,Mohit Raysoni,,0.18,250,2000,100,0,,,100-0,,MINT,2025-11-10,,17,100,API Build,"Initial scoping and API walkthrough is done.

Helping merchant with the API dev. Movement is slow on their side.",,Advanced,No,EB+PayU,,NO,,https://gokwik.atlassian.net/browse/CUST-274,,,,,
0674581c-b57f-475f-b004-1e390dc68df2,UID-muftijeans.in,muftijeans.in,2025-11-27T08:16:47.80576+00:00,2026-01-19T11:06:06.635685+00:00,Mufti,https://www.muftijeans.in/,Magento,"Men's clothing

",In Progress,Abhishek,Madhur,Mohit Raysoni,,0.25,300,1500,100,0,,,60-40,,Product,2025-11-07,,20,100,Sandbox Testing,"Initial scoping and API walkthrough is done.
Awaiting API's - Done
Integration - Done
New Product Requirement - Event Analytics, Multi-tab issue - QA","Merchant is in rush to go live before end of November. But slow movement on API's.
All integration points are closed as required by merchant, awaiting headsup from them on sandbox testing.",Advanced,,,,,,https://gokwik.atlassian.net/browse/CUST-264,,,,,19ben243hvjz
669b4f8c-13d4-4481-a5e9-745b0db5d751,UID-thewholetruthfoods.com,thewholetruthfoods.com,2025-11-11T10:47:47.433655+00:00,2025-12-04T06:28:54.388382+00:00,The Whole Truth,https://thewholetruthfoods.com/,Custom,Healthcare,In Progress,Abhishek,Saurabh,Mohit Raysoni,,0.59,600,3400,100,0,,,,28 Nov - move to integration,Product,2025-11-07,,20,100,Integration,"28 Nov - move to integration

Initial scoping and API walkthrough is done.
Awaitign API's. Per mechant, expect complete set by 25th Nov.",,Advanced,,,KYC pending,,,https://gokwik.atlassian.net/browse/CUST-251?,,,,Abhishek Yadav,
b7d4c7d3-7fd7-41b6-b67e-5084d42baf4f,UID-buywithemi.com,buywithemi.com,2025-11-27T08:16:47.80576+00:00,2025-11-27T08:16:47.80576+00:00,BuyWithEMI,https://www.buywithemi.com/,Custom,Affordable Electronics,In Progress,Rishabh,Madhur,Mohit Raysoni,,0.36,200,5000,100,0,React,,80-20,,MINT,2025-11-06,,21,100,Feasibility Analysis,"24 Nov - Unresponsive after 4 follow ups

Scoping and API walkthrough is done.Awaiting confirmation on scoping items such multi-seller cart id handling, KwikPass,",,Advanced,No,,,,,https://gokwik.atlassian.net/browse/CUST-260,,,,,
29a0045a-2c58-4b33-9da6-acab45f9dac5,UID-mystore.in,mystore.in,2025-11-27T08:16:47.80576+00:00,2025-11-27T08:16:47.80576+00:00,MyStore,https://mystore.in/,Custom,Electronics,On-hold,Rishabh,Madhur,Mohit Raysoni,,0.19,100,3500,25,75,,,100-0,,MINT,2025-11-03,,24,100,Feasibility Analysis,"Initial kickoff done. Utilises Open Network for Digital Commerce (ONDC). 
Has multiple custom requirements. Awaiting confirmation on ARR from sales to product can determine effort vs. yield comparison.","Uses Open network for Digital Commerce(ONDC) as middleware
Will go for a progressive rollout.
",Advanced,No,EB+PayU,,NO,,https://gokwik.atlassian.net/browse/CUST-273,,,,,
7b57a7d5-60ab-4ef4-a0b2-76a28a6c35e0,UID-kuberbox.com,kuberbox.com,2025-11-27T08:16:47.80576+00:00,2026-01-19T11:01:43.194444+00:00,KuberBox,https://www.kuberbox.com/,Magento,Jewellery,Live,Rishabh,Rohan,Animisha,,0.127,20,20000,100,0,,,95-5,27 Nov - Pushed into integration,Product,2025-11-03,2026-01-19,24,100,Live,"27 Nov - Pushed into integration
24 Nov - Default Magento API's received, except the PlaceOrder and CreateOrder.

Scoping and API walkthrough is done. Reviewing Discount Engine flow.
Awaiting the discounting engine workflow document from Monika.
Post that, GoKwik will finalize and share the complete API and event implementation list.

Also, waiting for Sales to confirm on KwikPass.","Needs product level partial payment option
support for discount stacking and dynamic coupon generation.
Has international orders, to be redicrected to Native checkout.",Advanced,No,EB+PayU,KYC pending - Done in last week of December,,Kuber Box go-live delay happened due to Kwik Pass integration. Merchant wanted to go-live with KP.,https://gokwik.atlassian.net/browse/CUST-258,,,,,196wsm4xda65
c5578750-a151-438e-b814-d367cd0a643d,UID-prideofcows.com,prideofcows.com,2025-11-11T10:47:47.433655+00:00,2025-11-27T08:16:47.80576+00:00,Pride of Cows,https://prideofcows.com/,Custom,Dairy,On-hold,Abhishek,Verun,Mohit Raysoni,,0.67,2000,2000,65,35,React,,90-10,,Sales,2025-10-15,,43,100,Feasibility Analysis,"Discovery in progress.

Getting clarity on ARR, feasibility, identifying customisation and efforts required","Requires Enablement of Bajaj EMI & PDP Widget
Selling MIlk and Dairy products on subscription basis
Has a wallet that can be set to auto-recharge, or be recharged manually. 
Subscribers amount get deducted from it at selected frequency.",Advanced,Analysing,EB+PayU,No docs and NBOM received,Maybe,Unclear,,,,,,
63259c52-bb54-4904-b027-f3b9eaced862,UID-sivayii.concentics.com,sivayii.concentics.com,2025-11-11T10:47:47.433655+00:00,2025-11-27T08:16:47.80576+00:00,Sivayii,https://sivayii.concentics.com/,Custom,Apparels,Live,Monika,Vikalp,Mohit Raysoni,,0.08,140,1000,100,,,,30-70,,MS,2025-10-14,2025-11-07,,100,Live,Live,"This brand was offline and they have built their online website just now, will be slowly shifting all offline sales to online and expanding their business to Pan India.

1) Merchant is taking the entire GoKwik suite and is enabling it on their website. 
2) Want to go live as soon as possible
3) Sivayii and Saajh both brands owned by same merchant",Lite,No,EB+PayU,No docs and NBOM received,No,,https://gokwik.atlassian.net/browse/CUST-219,,,,,
3fae407e-bbf0-4fe5-b087-46af1e600ef5,UID-saajh.concentics.com,saajh.concentics.com,2025-11-11T10:47:47.433655+00:00,2025-11-27T08:16:47.80576+00:00,Saajh,https://saajh.concentics.com/,Custom,Apparels,Live,Monika,Vikalp,Mohit Raysoni,,0.08,140,1000,100,0,,,30-70,,MS,2025-10-14,2025-11-11,,100,Live,Live,Live,Lite,No,EB+PayU,No docs and NBOM received,No,,https://gokwik.atlassian.net/browse/CUST-219,,,,,
836ac0c8-3869-4e42-8d19-e27fc4431c6a,UID-tradexa.in,tradexa.in,2025-11-11T10:47:47.433655+00:00,2025-11-27T08:16:47.80576+00:00,Tradexa (Platform - Level),https://www.tradexa.in/,Custom,Platform,In Progress,Abhishek,Verun,Mohit Raysoni,,0.65,240,12000,100,0,,,,,MINT,2025-10-13,,45,100,Scoping,"17 Nov - Merchant will start API Dev in this week.

Awaiting platform and merchant details from merchant to validate platform level approach.
Next, we will schedule a technical API walkthrough and attain GoKwik product sign-off (agenda: confirm API payloads, feature toggles, domain whitelisting, MID provisioning).

","Hyperinventory platform - requires platform level integration that can be enabled/disabled for individual merchants.

",Advanced,No,EB+PayU,No docs and NBOM received,No,,https://gokwik.atlassian.net/browse/CUST-230,,,,,
8b875ebc-d945-41b9-aebc-099cb7188d0a,UID-shoptheworld.in,shoptheworld.in,2025-11-11T10:47:47.433655+00:00,2025-11-27T08:16:47.80576+00:00,Shop The World,https://shoptheworld.in/,Custom,Electronics,Blocked,Abhishek,Madhur,Mohit Raysoni,,0.1,10,25000,,,,,,,MINT,2025-10-09,,49,100,API Build,"API's received, SDK integration in progress on merchant side. Heavy delays and irregular communications. from merchant's team.


After a gap of almost 3 months, Merchant has resumed working on building the API's.

Merchant shared the Postman workspace but it was unaccessible; Requested them to share JSON collection",Awaiting APIs,Advanced,No,Easebuzz,Merchant is selling firecrackers,No,,https://gokwik.atlassian.net/browse/CUST-231,,,,,
30b1b0bd-cbfb-4bb7-8f45-6d38fcd7cb09,UID-bevzilla.co,bevzilla.co,2025-11-11T10:47:47.433655+00:00,2025-11-26T08:08:52.582936+00:00,Bevzilla,https://www.bevzilla.co/,Custom,,Blocked,,Aakriti,Mohit Raysoni,,0.32,,,,,,,,,MS,2025-10-09,,53,,API Build,Been unresponsive since first kickoff,"Kicked off on 10th Sep, been unresponsive since.
Merchant has put efforts on hold until further notice.",Advanced,,Easebuzz,Approved in shopify but no mail received for custom platform,,,NA,NA,NA,NA,,
7db1fdc0-c955-4b7d-8093-55d691fd0523,UID-whisperinghomes.com,whisperinghomes.com,2025-11-11T10:47:47.433655+00:00,2025-12-09T07:03:15.184609+00:00,Whispering Homes,https://www.whisperinghomes.com/,Magento,Home decor,Live,Monika,Rohan,Mohit Raysoni,,0.15,50,10000,100,0,,,60:30:00,,MS,2025-10-09,,49,100,Live,Under integration,"Decor Brand, High AOV (10K) at 50 Transactions/Day
Prepaid/COD - 60/30, RTO 5%
Has AB teasting  - KwikCheckout going live on MWeb First(traffic split 80%)
Has Check transfer/Offline desposit options 
Supports PPCOD",Advanced,No,EB+PayU,No docs and NBOM received,No,,https://gokwik.atlassian.net/browse/CUST-220?,,,,,
33e2e927-5df6-4dad-a7a4-21232188c694,UID-ifbappliances.com,ifbappliances.com,2025-11-11T10:47:47.433655+00:00,2025-11-27T08:16:47.80576+00:00,IFB Appliances,https://www.ifbappliances.com/,Custom,Electronic Appliances,Blocked,Abhishek,Madhur,Mohit Raysoni,,0.18,67,1000,80,20,,,"100:0",,MINT,2025-10-08,,50,100,Scoping,"Awaiting API's from merchant, no communication from merchant on status, ETA or challenges","Electronics Brand, High AOV (10K)
100% Prepaid Only, No COD
Uses Pinelabs for Offers, Managed at cart level
Merchant was unavailable last week; We will follow up to schedule API walkthrough.",Advanced,No,EB+PayU,No docs and NBOM received,No,,https://gokwik.atlassian.net/browse/CUST-228,,,,,
2f255dcd-1e82-4d9e-9f59-eace11f573ab,UID-warranty.xtracover.com,warranty.xtracover.com,2025-11-11T10:47:47.433655+00:00,2025-12-09T07:03:33.705807+00:00,Xtracover Warranty,https://warranty.xtracover.com/,Custom,Gadget Warranty,Live,Monika,Madhur,Mohit Raysoni,,0.12,34,10000,100,0,,,"100:0",,MS,2025-10-08,,50,100,Live,"Initial kickoff done, Integration methodology and API's explained. Awaiting APIs from Merchant","Selling warranty plans (Digital Products only)

Pending AI on merchant: SDK integration; Events; updateorder API; check order status API. Merchant is unresponsive on these AI. We will follow up. ",Advanced,No,Easebuzz,No docs and NBOM received,No,,https://gokwik.atlassian.net/browse/CUST-229,,,,,
35b68b8a-e6aa-4967-b94f-abefc051d3c2,UID-zazza.in,zazza.in,2025-11-11T10:47:47.433655+00:00,2025-11-27T08:16:47.80576+00:00,Zazza(Swivo Magic),https://zazza.in/ (Zazza),Custom,,Live,Anil,Sagar T,Mohit Raysoni,,0.33,,,,,,,,,MS,2025-10-07,2025-11-10,,100,Live,Live,Merchant wants to replicate Zazza website for Swivomagic.,Advanced,No,Easebuzz,Approved,No,,https://gokwik.atlassian.net/browse/CUST-225?,,,,,
1943f3cc-1d39-416d-b019-f8d79e3edbd6,UID-agribegri.com,agribegri.com,2025-11-11T10:47:47.433655+00:00,2026-01-19T11:06:31.036426+00:00,Agribegri,https://agribegri.com/,Custom,Agricultural products,In Progress,Abhishek,Verun,Mohit Raysoni,,0.33,416,1600,60,40,React,,65-35,,MINT,2025-09-30,,58,100,Sandbox Testing,"Merchant resumes API building this week. 

Merchant is working on website, will share udpate on when theuy have begin the API Dev

Merchant is on sandbox testing, will move to production testing by 20 Jan'25.",Merchant Intent and Expectations - They are currently using Fastrr and want to explore Kwik Checkout as they are not happy with the former. Client has certain queries regarding integration for which they have requested a call.,Advanced,No,EB+PayU,No docs and NBOM received,No,,https://gokwik.atlassian.net/browse/CUST-224,,,,,19wnspkvqzrt
486acc38-93ee-4211-ad08-9a76d3167edc,UID-kisna.com,kisna.com,2025-11-11T10:47:47.433655+00:00,2026-01-21T05:56:18.631487+00:00,Kisna Diamond,https://kisna.com/ (kisna.com),Custom,Cosmetics,Live,Rishabh,Verun,Animisha Parmar,Verun,0.16,9,40000,100,0,,,100-0,,Product,2025-09-29,2026-01-07,59,97,Live,"24 Nov  - Merchant is making changes in the UI, and deciding on their checkout flow.


Merchant came up with new requirements in already finalised checkout flow, we suggested an ameliorated flow. Awaiting confirmation on the proposed flow. Meanwhile the merchant team has paused the project until next update due to other priorities.

API validation and BRd done. SDK integration in progress, but encountering errors.

Merchant team will need 2 to 3 weeks to build and share API's. ETA 20th Oct.

Effort estimation on In-store delivery is in discussion with product team. Merchant is working on SDK Integrationon sandbox, API validation is done

15th Jan - 

Specific tags to be enabled/configured to display on the payment methods? - Animisha will check this with Mx

UTM parameters is getting captured - All direct orders as of now - have asked them and gave them the excat code where Mx will have to implement

Refund Webhook is configured - Webhook is configured at our end, Mx is unable to get the data due to webhook issue at their end, have sent the logs to them for correction

Transactiona and abandand cart - As aligned with Mint, this is not required as of now

Coupons - Disabled from UI because of conflict with Digi Gold but APIs are already in place and can be enabled directly form UI

Place Order API - They only use place order API and not using create order API, due to reporting issues as the order ID changes at Mx end after create order and place order

Banks enabled on EMI CC - EB don't support One Card, Federal Bank and IDBI Bank (rest all banks are enabled those are configured on NOCOSTEMI offer)

Offer Logic Issue: https://gokwik.atlassian.net/browse/GKP-30649 - This is closed - offer logic is also solved

Bank Offers configured - ICICI 5% instant Discount and No Cost EMI

Traffic - We are live on Kisna Diamonds on 97% traffic. Another 2-3% traffic which is on 'Pick up from Store from any city' will remain on Native.

20th Jan:

Account transferred to MS team (Animisha)","22 Sep - Awaiting update on API dev from merchant team

Initital scoping call done, API walkthrough started.",Lite,No,Easebuzz and PayU,Physical CPV has been initaited at EB's end. Awaiting for the cpv report,Yes,"PDP Affordability Widget - To show bank offers to end users
Loyalty, Gift Card and E-Voucher - Options on the cart page to be passed in get cart API schedule for later stage

PAN Card - Currently their backend team calls for PAN card for offers above 2L

Kwikpass SSO - Currently only KP login is implemented, not SSO

Split Order API - They have product wise AWB numbers, hence Mx will not pass the AWB numbers in order update API now but will share it via Split Order API

Pincode Check and EDD - Shipping API is implemented but they are delivering PAN India as of now

PPCOD - They don't allow COD but PPCOD might get picked up at a later stage",https://gokwik.atlassian.net/browse/CUST-227?,,https://docs.google.com/spreadsheets/d/1TibnIWYzrwP3pEen7kZrq_9PadmRAbM83VuNa5eedq0/edit?gid=1594526022#gid=1594526022,https://docs.google.com/spreadsheets/d/1TibnIWYzrwP3pEen7kZrq_9PadmRAbM83VuNa5eedq0/edit?gid=1594526022#gid=1594526022,,19ff6zlza1rm
a7cf1490-6bf7-4adb-b846-ce9d39bdbabc,UID-kerastase.com,kerastase.com,2025-11-11T10:47:47.433655+00:00,2026-01-22T05:18:14.722367+00:00,Kerastese(Loreal),https://www.kerastase.com/,SFCC,Dairy,Not Started,Arvind,Suarabh,Mohit Raysoni,,0.15,250,3000,100,0,,,100-0,,MS,2025-09-26,,62,100,Scoping,"1. Merchant has started the integration. They have some changes to be done internally before they integrate the catridge. Which they will complete by 28 Jan. 
2. ","Merchant is conducting feasability checks, the integration will begin in January'26",Advanced,TBA,,No docs and NBOM received,No,,,,,,,
9769c2ea-cebe-42c2-b5ed-e030ed799b9a,UID-shreeramkrishnaoilmills.com,shreeramkrishnaoilmills.com,2025-11-11T10:47:47.433655+00:00,2025-11-27T08:16:47.80576+00:00,Shree RamKrishna Oil Mills,https://shreeramkrishnaoilmills.com/,Custom,,Live,Monika,Vikalp,Mohit Raysoni,,0.138,,,,,,,,,MS,2025-09-17,2025-11-07,,100,Live,Live,"Aiming to go live on 14th Oct. 

Project went on hold for Nov'25 -> merchant to update on next steps",Advanced,No,Easebuzz,Approved,No,,https://gokwik.atlassian.net/browse/GKP-29581,,,,,
bf283c65-4789-40ba-abbf-3c665983bdd9,UID-asianfootwears.com,asianfootwears.com,2025-11-11T10:47:47.433655+00:00,2026-01-21T12:24:05.396466+00:00,Asian Footwear,https://www.asianfootwears.com,Custom,Footwear,Unlive,Anil,Saurabh,Mohit Raysoni,,0.2,500,1500,100,0,,,100-0,,Program - Anil,2025-09-12,,76,100,Issue Fixing at Merchant's end,"Integration is completed from GK's end, Waiting for merchant to complete the SDK integration to test on Sandbox and provide Sandbox readiness to the merchant - ETA: 23-October.","Brand is currently using address APIs via Shiprocket
They will start with 50% traffic and shall divert 100% post observing the uplift in checkout conversion rate
1.⁠ ⁠The cart displayed on the Asian Footwear website is different from the one displayed on the checkout.
2.⁠ ⁠⁠Whenever I try making the payment, im getting “internal server error”. Please check the screenshot attached for your reference.
3. Merchant to start fixing the issues reported - ETA: 20-Jan",Advanced,No,Easebuzz,Approved,No,,https://gokwik.atlassian.net/browse/CUST-209,,https://docs.google.com/spreadsheets/d/1h6lQ5n1IdQOpo7LElSVPsqRSYBh8NTDsWCLP96BI12I/edit?gid=0#gid=0,https://docs.google.com/spreadsheets/d/1hKUJ6J9vwdXmP7-sqH2yxFTR0lciRvK10fUuyyK-vDI/edit?gid=674974118#gid=674974118,Rishabh,192ry1jb6o5h
503e54e0-259e-4306-b9fc-f79183fdcb61,UID-rashiratanbhagya.com,rashiratanbhagya.com,2025-11-11T10:47:47.433655+00:00,2026-01-05T10:20:36.718159+00:00,RashiRatanBhagya,https://rashiratanbhagya.com/ (Rashi Ratan Bhagya),Magento,Gems & Jewellery,Live,Nithya,Madhur,Mohit Raysoni,,0.12,35,5000,,,,,,,Product,2025-09-02,2025-12-11,86,100,Live,"Aligned with the merchant to take this up in 2 phases. 
1. Phase 1 - Guest Checkout for Indian IPs and INR Currency. 
2. Phase 2 - Logged-in user flow (Only phone/OTP authentication) + Indian IPs + INR Currency
---
Awaiting merchant's response to decide on Phase 1 Go Live ETA.",-,Advanced,No,Easebuzz,Approved,No,,https://gokwik.atlassian.net/browse/GKP-29522,,,,,19ugndoxi900
a2b42d76-7538-465d-bd88-9ee0d5435ea4,UID-xtracover.com,xtracover.com,2025-11-11T10:47:47.433655+00:00,2025-11-27T08:16:47.80576+00:00,Xtracover,https://www.xtracover.com/,Custom,,Live,Monika,Madhur,Mohit Raysoni,,0.444,,,,,,,,,MS,2025-08-25,2025-10-29,,100,Live,Live,"Jewellery brand with Prodcuts having multiple customisation options
Has store credit and wallet balance option
",Advanced,No,Easebuzz,Approved,No,,https://gokwik.atlassian.net/browse/CUST-229,,,,,
